RIN,Geolocation,zip,long_lat,TigerLineID,Tract,Block
141850,"615 E 15TH ST, Austin, TX, ,",,,,,
141851,"300 E 6TH ST, Austin, TX, ,",,,,,
141908,"901 W BEN WHITE BLVD EB, Austin, TX, ,",,,,,
141928,"7104 BERKMAN DR, Austin, TX, ,","7104 BERKMAN DR, AUSTIN, TX, 78752","-97.6896,30.324034",64020518,1811,1022
141929,"4600 ELMONT DR, Austin, TX, ,","4600 ELMONT DR, AUSTIN, TX, 78741","-97.71707,30.23747",63969825,2317,2002
141930,"4600 ELMONT DR, Austin, TX, ,","4600 ELMONT DR, AUSTIN, TX, 78741","-97.71707,30.23747",63969825,2317,2002
141934,"811 KING EDWARD PL, Austin, TX, ,","811 KING EDWARD PL, AUSTIN, TX, 78745","-97.78942,30.19967",63949368,2410,2013
141988,"11601 DOMAIN DR, Austin, TX, ,","11601 DOMAIN DR, AUSTIN, TX, 78758","-97.72473,30.401112",620020157,1849,1013
142048,"5800 WELLINGTON DR, Austin, TX, ,","5800 WELLINGTON DR, AUSTIN, TX, 78723","-97.68788,30.31025",63934952,2106,1008
142049,"5800 WELLINGTON DR, Austin, TX, ,","5800 WELLINGTON DR, AUSTIN, TX, 78723","-97.68788,30.31025",63934952,2106,1008
142068,"5800 WELLINGTON DR, Austin, TX, ,","5800 WELLINGTON DR, AUSTIN, TX, 78723","-97.68788,30.31025",63934952,2106,1008
142088,"901 W BEN WHITE BLVD EB, Austin, TX, ,",,,,,
142108,"7904 FORBSDALE DR, Austin, TX, ,","7904 FORBSDALE DR, AUSTIN, TX, 78747","-97.73818,30.158173",64012751,2426,1038
142130,"500 BLOCK BRAZOS ST, Austin, TX, ,","500 BRAZOS ST, AUSTIN, TX, 78701","-97.74181,30.266832",63943463,1100,1092
142148,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
142151,"900 BLOCK BRASS ST, Austin, TX, ,","900 BRASS ST, AUSTIN, TX, 78702","-97.70454,30.263529",63947942,801,1014
142152,"900 BLOCK BRASS ST, Austin, TX, ,","900 BRASS ST, AUSTIN, TX, 78702","-97.70454,30.263529",63947942,801,1014
142153,"SAHARA AVE / EMERALD FOREST DR, Austin, TX, ,",,,,,
142154,"2512 E 10TH ST, Austin, TX, ,",,,,,
142155,"2100 BLOCK ELMONT DR, Austin, TX, ,","2100 ELMONT DR, AUSTIN, TX, 78741","-97.72628,30.241295",64015971,2304,2006
142169,"SAHARA AVE / EMERALD FOREST DR, Austin, TX, ,",,,,,
142170,"2012 JIM CRAIG CT, Austin, TX, ,","2012 JIM CRAIG CT, AUSTIN, TX, 78748","-97.841866,30.148268",627556686,1772,1014
142188,"2512 E 10TH ST, Austin, TX, ,",,,,,
142190,"8900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142193,"E MARTIN LUTHER KING JR BLVD / CHICON ST, Austin, TX, ,",,,,,
142208,"8900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
